type,id,name,URL,url_sravni,url_irec,url_otz,vk,old_vk,code,bank_id
broker_i_uk,53,FinEx,https://www.banki.ru/investment/responses/company/trust_company/finex-etf/,,,,finexetf,https://vk.com/finexetf?ysclid=lak493xky585522264,finex-etf,
broker_i_uk,54,А класс капитал,https://www.banki.ru/investment/responses/company/trust_company/aclass/,,,,,,aclass,
broker_i_uk,55,Агана,https://www.banki.ru/investment/responses/company/trust_company/agana/,,,,,,agana,
broker_i_uk,56,БКС Управление благосостоянием,https://www.banki.ru/investment/responses/company/trust_company/uralsib-am/,,,https://otzovik.com/reviews/ao_bks_upravlenie_blagosostoyaniem/,,,uralsib-am,
broker_i_uk,57,БКС,https://www.banki.ru/investment/responses/company/trust_company/bcs/,,https://irecommend.ru/content/bks-brokerskoe-obsluzhivanie,,,,bcs,
broker_i_uk,58,Свиньин и Партнеры,https://www.banki.ru/investment/responses/company/trust_company/svinin/,,,,,,svinin,
broker_i_uk,60,УК Велес Менеджмент,https://www.banki.ru/investment/responses/company/trust_company/veles-capitalam/,,,,,,veles-capitalam,
broker_i_uk,61,Восток-Запад,https://www.banki.ru/investment/responses/company/trust_company/ew-mc/,,,,,,ew-mc,
broker_i_uk,62,Ак Барс Капитал,https://www.banki.ru/investment/responses/company/trust_company/akbarscapital/,,,,abcapital,https://vk.com/abcapital?ysclid=lak4bc5j3n416042246,akbarscapital,
broker_i_uk,63,Спутник-Управление Капиталом,https://www.banki.ru/investment/responses/company/trust_company/sputnik-am/,,,,,,sputnik-am,
broker_i_uk,64,Велес Траст,https://www.banki.ru/investment/responses/company/trust_company/veles-trust/,,,,,,veles-trust,
broker_i_uk,65,Тинькофф Капитал,https://www.banki.ru/investment/responses/company/trust_company/tinkoffcapital/,,,,,,tinkoffcapital,
broker_i_uk,66,УК Промсвязь,https://www.banki.ru/investment/responses/company/trust_company/promsvyaz/,,,,,,promsvyaz,
broker_i_uk,67,RWM Capital,https://www.banki.ru/investment/responses/company/trust_company/rwminvest/,,,,,,rwminvest,
broker_i_uk,68,Атон-менеджмент,https://www.banki.ru/investment/responses/company/trust_company/aton-m/,,,,,,aton-m,
broker_i_uk,69,КСП Капитал,https://www.banki.ru/investment/responses/company/trust_company/kspcapital-am/,,,,,,kspcapital-am,
broker_i_uk,70,РФЦ-Капитал,https://www.banki.ru/investment/responses/company/trust_company/rfc-capital/,,,,,,rfc-capital,
broker_i_uk,71,Национальная управляющая компания,https://www.banki.ru/investment/responses/company/trust_company/namc/,,,,,,namc,
broker_i_uk,72,Доходъ,https://www.banki.ru/investment/responses/company/trust_company/uk.dohod/,,,,,,uk.dohod,
broker_i_uk,73,Центротраст,https://www.banki.ru/investment/responses/company/trust_company/centrotrast/,,,,,,centrotrast,
broker_i_uk,74,Апрель Капитал,https://www.banki.ru/investment/responses/company/trust_company/april-capital/,,,,,,april-capital,10145.0
broker_i_uk,75,БСПБ Капитал,https://www.banki.ru/investment/responses/company/trust_company/bspb/,,,,,,bspb,10224.0
broker_i_uk,76,IQG Asset Management,https://www.banki.ru/investment/responses/company/trust_company/iqg/,,,,,,iqg,
broker_i_uk,77,Аурум Инвестмент,https://www.banki.ru/investment/responses/company/trust_company/aurum-investment/,,,,,,aurum-investment,
broker_i_uk,78,Ронин Траст,https://www.banki.ru/investment/responses/company/trust_company/ronin-trast/,,,,,,ronin-trast,
broker_i_uk,79,НИК Развитие,https://www.banki.ru/investment/responses/company/trust_company/nik/,,,,,,nik,
broker_i_uk,80,ФБ Август,https://www.banki.ru/investment/responses/company/trust_company/fbaugust/,,,,,,fbaugust,
broker_i_uk,81,Акцент Управление Активами,https://www.banki.ru/investment/responses/company/trust_company/accent-am/,,,,,,accent-am,
broker_i_uk,82,Перамо Инвест,https://www.banki.ru/investment/responses/company/trust_company/peramoinvest/,,,,,,peramoinvest,
broker_i_uk,83,Меркури Эссет Менеджмент,https://www.banki.ru/investment/responses/company/trust_company/merkury-m/,,,,,,merkury-m,
broker_i_uk,84,АктивФинансМенеджмент,https://www.banki.ru/investment/responses/company/trust_company/afmg/,,,,,,afmg,
broker_i_uk,85,Арсагера,https://www.banki.ru/investment/responses/company/trust_company/arsagera/,,,,,,arsagera,
broker_i_uk,86,Конкордия-эссет менеджмент,https://www.banki.ru/investment/responses/company/trust_company/konkordiya/,,,,,,konkordiya,
broker_i_uk,87,Арикапитал,https://www.banki.ru/investment/responses/company/trust_company/arikapital/,,,,,,arikapital,
broker_i_uk,88,ГеоКапитал,https://www.banki.ru/investment/responses/company/trust_company/geocapital/,,,,,,geocapital,
broker_i_uk,89,Инвестиционная компания Алго Капитал,https://www.banki.ru/investment/responses/company/trust_company/algocapital/,,,,,,algocapital,10143.0
broker_i_uk,90,UMGT,https://www.banki.ru/investment/responses/company/trust_company/umgt/,,,,,,umgt,
broker_i_uk,91,Олма-Финанс,https://www.banki.ru/investment/responses/company/trust_company/olma-finance/,,,,,,olma-finance,
broker_i_uk,92,Агидель,https://www.banki.ru/investment/responses/company/trust_company/agidel/,,,,,,agidel,
broker_i_uk,93,Финам Менеджмент,https://www.banki.ru/investment/responses/company/trust_company/finam/,,,,,,finam,10042.0
broker_i_uk,94,Парма-Менеджмент,https://www.banki.ru/investment/responses/company/trust_company/parma-managemant/,,,,,,parma-managemant,
broker_i_uk,95,Молния,https://www.banki.ru/investment/responses/company/trust_company/thunderbolt-am/,,,,,,thunderbolt-am,
broker_i_uk,96,Брест Капитал,https://www.banki.ru/investment/responses/company/trust_company/brestcapital/,,,,,,brestcapital,
broker_i_uk,97,М-Капитал,https://www.banki.ru/investment/responses/company/trust_company/mcapital/,,,,,,mcapital,
broker_i_uk,98,Плаза Девелопмент,https://www.banki.ru/investment/responses/company/trust_company/plazadevelopment/,,,,,,plazadevelopment,
broker_i_uk,99,РусКапитал,https://www.banki.ru/investment/responses/company/trust_company/ruskap/,,,,,,ruskap,
broker_i_uk,100,Лекс АМ,https://www.banki.ru/investment/responses/company/trust_company/lexpif/,,,,,,lexpif,
broker_i_uk,101,Частные Активы,https://www.banki.ru/investment/responses/company/trust_company/mcenter/,,,,,,mcenter,
broker_i_uk,102,Юнион Инвест Групп,https://www.banki.ru/investment/responses/company/trust_company/unvest/,,,,,,unvest,
broker_i_uk,103,Диана,https://www.banki.ru/investment/responses/company/trust_company/uk-diana/,,,,,,uk-diana,
broker_i_uk,104,АТ-Менеджмент,https://www.banki.ru/investment/responses/company/trust_company/at-management/,,,,,,at-management,
broker_i_uk,105,Маттерхорн-Финанс,https://www.banki.ru/investment/responses/company/trust_company/mthf/,,,,,,mthf,
broker_i_uk,106,Альва-Финанс,https://www.banki.ru/investment/responses/company/trust_company/alvafinance/,,,,,,alvafinance,
broker_i_uk,107,Развитие,https://www.banki.ru/investment/responses/company/trust_company/development-am/,,,,,,development-am,
broker_i_uk,108,Си-Эф-Си Прямые Инвестиции,https://www.banki.ru/investment/responses/company/trust_company/cfcpi/,,,,,,cfcpi,
broker_i_uk,109,Тринфико Пропети Менеджмент,https://www.banki.ru/investment/responses/company/trust_company/trinfico-pm/,,,,,,trinfico-pm,
broker_i_uk,110,Пенсионные накопления,https://www.banki.ru/investment/responses/company/trust_company/pension-am/,,,,,,pension-am,
broker_i_uk,111,Сигнет Капитал,https://www.banki.ru/investment/responses/company/trust_company/signet.capital/,,,,,,signet.capital,
broker_i_uk,112,Династия,https://www.banki.ru/investment/responses/company/trust_company/uk-dynasty/,,,,,,uk-dynasty,
broker_i_uk,113,Маяк Эстейт - Менеджмент,https://www.banki.ru/investment/responses/company/trust_company/beaconfunds/,,,,,,beaconfunds,
